游泳,552,0.978723404255,745,564
热身,17,0.809523809524,745,21
奥运会,699,0.988684582744,745,707
足球,671,0.998511904762,745,672
水立方,566,0.868098159509,745,652
奥林匹克公园,745,1.0,745,745
安立路,146,0.918238993711,745,159
居住区,61,1.0,745,61
天辰东,549,0.990974729242,745,554
湿地,109,0.838461538462,745,130
田径,671,1.0,745,671
绿化,122,0.86524822695,745,141
任务,671,0.915416098226,745,733
投资,62,0.984126984127,745,63
安立,123,0.9609375,745,128
仰山,109,0.858267716535,745,127
南园,109,0.84496124031,745,129
体积,23,0.958333333333,745,24
比赛,673,0.997037037037,745,675
铁栅栏,10,1.0,745,10
水景,109,0.832061068702,745,131
亚运,61,0.983870967742,745,62
闭幕式,671,1.0,745,671
林翠路,13,1.0,745,13
游泳馆,548,1.0,745,548
开幕式,671,1.0,745,671
场馆,68,0.871794871795,745,78
观众,673,0.947887323944,745,710
建筑物,547,0.935042735043,745,585
人造,109,0.813432835821,745,134
标志性,547,0.898193760263,745,609
莴笋,8,0.8,745,10
